label                    , accuracy          , precision         , recall            , f1                , mcc                , mae               , exact_rate        , specificity       , balanced_accuracy , species
baseline                 , 0.2433206106870229, 0.0570749108204518, 1.0               , 0.107986501687289 , 0.108694556164665  , 24.25             , 0.7916666666666666, 0.207             , 0.6035            , Human (Mammal - Held-out Region)
baseline                 , 0.1648460774577954, 0.008254716981132 , 1.0               , 0.0163742690058479, 0.0362284418654735 , 21.0              , 0.8571428571428571, 0.159             , 0.5795            , Mouse (Mammal - Held-out Region)
baseline                 , 0.4898477157360406, 0.417391304347826 , 1.0               , 0.588957055214724 , 0.2860221943349395 , 32.395833333333336, 0.6649305555555556, 0.196             , 0.598             , Arabidopsis (Plant - Held-out Region)
baseline                 , 0.5350089766606823, 0.482             , 1.0               , 0.650472334682861 , 0.2948610485884556 , 37.86721991701245 , 0.6390041493775933, 0.180379746835443 , 0.5901898734177216, Yeast (Fungi - Unseen Clade)
baseline                 , 0.491273432449903 , 0.4100449775112443, 1.0               , 0.58160552897395  , 0.2955327058210225 , 34.053016453382085, 0.6361974405850092, 0.213             , 0.6065            , Worm (Nematode - Unseen Clade)
baseline                 , 0.5604463732176069, 0.4636913767019667, 1.0               , 0.6335917312661499, 0.3673338952782227 , 34.62479608482871 , 0.6443719412724307, 0.291             , 0.6455            , GUE C. elegans Histone (Nematode)
hmm_stride1              , 0.9408396946564884, 0.3939393939393939, 0.5416666666666666, 0.4561403508771929, 0.4317259484139609 , 19.846153846153847, 0.3125            , 0.96              , 0.7508333333333332, Human (Mammal - Held-out Region)
hmm_stride1              , 0.6802383316782522, 0.0153846153846153, 0.7142857142857143, 0.0301204819277108, 0.070069044336191  ,  9.6              , 0.5714285714285714, 0.68              , 0.6971428571428572, Mouse (Mammal - Held-out Region)
hmm_stride1              , 0.8001269035532995, 0.7636363636363637, 0.65625           , 0.7058823529411765, 0.559481781439315  , 17.849206349206348, 0.4427083333333333, 0.883             , 0.769625          , Arabidopsis (Plant - Held-out Region)
hmm_stride1              , 0.5834829443447038, 0.5333333333333333, 0.2987551867219917, 0.3829787234042553, 0.1149114574410125 , 30.0              , 0.1452282157676348, 0.8006329113924051, 0.5496940490571984, Yeast (Fungi - Unseen Clade)
hmm_stride1              , 0.7078215901745314, 0.6655052264808362, 0.3491773308957952, 0.4580335731414868, 0.3113811077122015 , 19.00523560209424 , 0.2449725776965265, 0.904             , 0.6265886654478976, Worm (Nematode - Unseen Clade)
hmm_stride1              , 0.6875387476751394, 0.6372795969773299, 0.4127243066884176, 0.500990099009901 , 0.3028134404217769 , 13.221343873517789, 0.3066884176182708, 0.856             , 0.6343621533442088, GUE C. elegans Histone (Nematode)
hmm_tokenized            , 0.9675572519083968, 0.7058823529411765, 0.5               , 0.5853658536585366, 0.5781736069772485 ,  4.125            , 0.4375            , 0.99              , 0.745             , Human (Mammal - Held-out Region)
hmm_tokenized            , 0.8867924528301887, 0.0265486725663716, 0.4285714285714285, 0.05              , 0.0838586490876693 ,  7.0              , 0.2857142857142857, 0.89              , 0.6592857142857143, Mouse (Mammal - Held-out Region)
hmm_tokenized            , 0.8280456852791879, 0.8080808080808081, 0.6944444444444444, 0.7469654528478058, 0.621934623368898  ,  5.385            , 0.6041666666666666, 0.905             , 0.7997222222222222, Arabidopsis (Plant - Held-out Region)
hmm_tokenized            , 0.7594254937163375, 0.8496732026143791, 0.5394190871369294, 0.6598984771573604, 0.5179553242829877 ,  5.492307692307692, 0.4854771784232365, 0.9272151898734176, 0.7333171385051735, Yeast (Fungi - Unseen Clade)
