Model_Strategy           , Accuracy, Precision, Recall, F1_Score, MCC  , MAE_(bp), Exact_Match_Rate, Specificity, Balanced_Accuracy
hmm_tokenized            ,    0.824,     0.656,  0.511,    0.53 , 0.447,    6.655,            0.433,       0.926,             0.719
logistic_regression_codon,    0.583,     0.383,  0.988,    0.497, 0.377,    7.61 ,            0.834,       0.456,             0.722
v3                       ,    0.604,     0.368,  0.91 ,    0.49 , 0.354,    6.941,            0.758,       0.46 ,             0.685
meta_router              ,    0.79 ,     0.572,  0.453,    0.426, 0.351,    6.629,            0.382,       0.929,             0.691
logistic_regression      ,    0.557,     0.367,  0.985,    0.483, 0.348,   14.062,            0.79 ,       0.418,             0.702
v2                       ,    0.653,     0.39 ,  0.813,    0.491, 0.34 ,    8.154,            0.666,       0.563,             0.688
hmm_stride1              ,    0.733,     0.502,  0.495,    0.422, 0.298,   18.254,            0.337,       0.847,             0.671
v1                       ,    0.461,     0.321,  1.0  ,    0.445, 0.271,   16.736,            0.756,       0.272,             0.636
baseline                 ,    0.414,     0.306,  1.0  ,    0.43 , 0.231,   30.698,            0.706,       0.208,             0.604
naive                    ,    0.284,     0.269,  1.0  ,    0.391, 0.08 ,   38.021,            0.48 ,       0.028,             0.514
